threshold,team_a_detection_recall,team_b_detection_recall,player_detection_recall,ball_recall,referee_recall,referee_wrong_as_player_rate,player_wrong_as_referee_rate,total_predicted_players,total_predicted_referees,total_predicted_balls
0.1,0.9865,0.9864,0.9864,0.6802,0.8958,0.2046,0.0016,7540,787,741
0.15,0.9856,0.9845,0.985,0.6334,0.892,0.1842,0.0016,7134,771,608
0.2,0.9823,0.9823,0.9823,0.5944,0.8907,0.1665,0.0016,6901,759,516
0.25,0.9817,0.9804,0.981,0.5616,0.8895,0.1461,0.0016,6740,753,447
0.3,0.9801,0.9785,0.9793,0.4977,0.8856,0.1296,0.0016,6607,746,382
0.4,0.9775,0.974,0.9758,0.3136,0.8666,0.1017,0.0013,6397,723,240
